Year,Company,at,emp,cusip
2001.0,AMETEK INC,1029.289,8.1,31100100.0
2002.0,AMETEK INC,1030.006,7.7,31100100.0
2003.0,AMETEK INC,1214.847,7.8,31100100.0
2004.0,AMETEK INC,1420.352,8.3,31100100.0
2005.0,AMETEK INC,1780.6,9.8,31100100.0
2006.0,AMETEK INC,2130.876,10.4,31100100.0
2007.0,AMETEK INC,2745.7,11.3,31100100.0
2008.0,AMETEK INC,3055.542,11.7,31100100.0
2009.0,AMETEK INC,3246.032,10.1,31100100.0
2010.0,AMETEK INC,3818.915,11.6,31100100.0
2011.0,AMETEK INC,4319.49,12.2,31100100.0
2012.0,AMETEK INC,5190.056,13.7,31100100.0
2013.0,AMETEK INC,5877.902,14.5,31100100.0
2014.0,AMETEK INC,6420.963,15.4,31100100.0
2015.0,AMETEK INC,6664.53,15.4,31100100.0
2016.0,AMETEK INC,7100.674,15.7,31100100.0
2017.0,AMETEK INC,7796.064,16.9,31100100.0
2018.0,AMETEK INC,8662.288,18.2,31100100.0
2019.0,AMETEK INC,9844.559,18.1,31100100.0
2020.0,AMETEK INC,10357.483,16.5,31100100.0
2021.0,AMETEK INC,11898.187,18.5,31100100.0
2022.0,AMETEK INC,12431.12,19.6,31100100.0
2023.0,AMETEK INC,15023.533,21.5,31100100.0
1989.0,BRUNSWICK CORP,1984.8,25.7,117043109.0
1990.0,BRUNSWICK CORP,1895.3,20.5,117043109.0
1991.0,BRUNSWICK CORP,1856.9,19.5,117043109.0
1992.0,BRUNSWICK CORP,1908.0,17.0,117043109.0
1993.0,BRUNSWICK CORP,1983.7,18.0,117043109.0
1994.0,BRUNSWICK CORP,2122.3,20.8,117043109.0
1995.0,BRUNSWICK CORP,2360.5,20.9,117043109.0
1996.0,BRUNSWICK CORP,2802.4,22.8,117043109.0
1997.0,BRUNSWICK CORP,3241.4,25.3,117043109.0
1998.0,BRUNSWICK CORP,3351.5,25.5,117043109.0
1999.0,BRUNSWICK CORP,3354.8,26.6,117043109.0
2000.0,BRUNSWICK CORP,3396.5,23.2,117043109.0
2001.0,BRUNSWICK CORP,3157.5,20.7,117043109.0
2002.0,BRUNSWICK CORP,3407.1,21.015,117043109.0
2003.0,BRUNSWICK CORP,3602.5,23.225,117043109.0
2004.0,BRUNSWICK CORP,4346.4,25.6,117043109.0
2005.0,BRUNSWICK CORP,4621.5,27.5,117043109.0
2006.0,BRUNSWICK CORP,4450.3,28.0,117043109.0
2007.0,BRUNSWICK CORP,4365.6,27.05,117043109.0
2008.0,BRUNSWICK CORP,3223.9,19.76,117043109.0
2009.0,BRUNSWICK CORP,2709.4,15.003,117043109.0
2010.0,BRUNSWICK CORP,2678.0,15.29,117043109.0
2011.0,BRUNSWICK CORP,2494.0,15.356,117043109.0
2012.0,BRUNSWICK CORP,2424.2,16.177,117043109.0
2013.0,BRUNSWICK CORP,2915.8,15.701,117043109.0
2014.0,BRUNSWICK CORP,3134.4,12.165,117043109.0
2015.0,BRUNSWICK CORP,3152.5,12.607,117043109.0
2016.0,BRUNSWICK CORP,3284.7,14.415,117043109.0
2017.0,BRUNSWICK CORP,3358.2,15.116,117043109.0
2018.0,BRUNSWICK CORP,4285.7,16.038,117043109.0
2019.0,BRUNSWICK CORP,3564.4,12.828,117043109.0
2020.0,BRUNSWICK CORP,3770.6,14.382,117043109.0
2021.0,BRUNSWICK CORP,5425.0,18.582,117043109.0
2022.0,BRUNSWICK CORP,6321.3,19.0,117043109.0
2023.0,BRUNSWICK CORP,6230.5,17.3,117043109.0
1989.0,UNISYS CORP,10751.0,82.3,909214306.0
1990.0,UNISYS CORP,10288.6,75.3,909214306.0
1991.0,UNISYS CORP,8432.0,60.3,909214306.0
1992.0,UNISYS CORP,7508.6,54.3,909214306.0
1993.0,UNISYS CORP,7519.2,49.0,909214306.0
1994.0,UNISYS CORP,7323.9,46.3,909214306.0
1995.0,UNISYS CORP,7113.2,37.4,909214306.0
1996.0,UNISYS CORP,6967.1,32.9,909214306.0
1997.0,UNISYS CORP,5591.3,32.6,909214306.0
1998.0,UNISYS CORP,5577.7,33.2,909214306.0
1999.0,UNISYS CORP,5889.7,35.8,909214306.0
2000.0,UNISYS CORP,5717.7,36.9,909214306.0
2001.0,UNISYS CORP,5769.1,38.9,909214306.0
2002.0,UNISYS CORP,4981.4,36.4,909214306.0
2003.0,UNISYS CORP,5474.6,37.3,909214306.0
2004.0,UNISYS CORP,5620.9,36.4,909214306.0
2005.0,UNISYS CORP,4028.9,36.1,909214306.0
2006.0,UNISYS CORP,4037.9,31.5,909214306.0
2007.0,UNISYS CORP,4137.1,30.0,909214306.0
2008.0,UNISYS CORP,2824.1,29.0,909214306.0
2009.0,UNISYS CORP,2956.9,25.6,909214306.0
2010.0,UNISYS CORP,3020.9,22.9,909214306.0
2011.0,UNISYS CORP,2612.2,22.7,909214306.0
2012.0,UNISYS CORP,2420.4,22.8,909214306.0
2013.0,UNISYS CORP,2510.0,22.8,909214306.0
2014.0,UNISYS CORP,2348.7,23.2,909214306.0
2015.0,UNISYS CORP,2143.2,23.0,909214306.0
2016.0,UNISYS CORP,2021.6,21.0,909214306.0
2017.0,UNISYS CORP,2542.4,20.5,909214306.0
2018.0,UNISYS CORP,2457.6,21.7,909214306.0
2019.0,UNISYS CORP,2504.0,20.8,909214306.0
2020.0,UNISYS CORP,2707.9,17.2,909214306.0
2021.0,UNISYS CORP,2419.5,16.3,909214306.0
2022.0,UNISYS CORP,2065.6,16.2,909214306.0
2023.0,UNISYS CORP,1965.4,16.5,909214306.0
1989.0,TUESDAY MORNING CORP,49.088,1.41,89904V200
1990.0,TUESDAY MORNING CORP,55.589,1.535,89904V200
1991.0,TUESDAY MORNING CORP,79.235,1.725,89904V200
1992.0,TUESDAY MORNING CORP,97.175,2.877,89904V200
1993.0,TUESDAY MORNING CORP,88.967,2.895,89904V200
1994.0,TUESDAY MORNING CORP,89.403,3.45,89904V200
1995.0,TUESDAY MORNING CORP,94.243,2.77,89904V200
1996.0,TUESDAY MORNING CORP,121.757,3.44,89904V200
1997.0,TUESDAY MORNING CORP,168.924,4,89904V200
1998.0,TUESDAY MORNING CORP,155.319,4.209,89904V200
1999.0,TUESDAY MORNING CORP,203.716,7.876,89904V200
2000.0,TUESDAY MORNING CORP,243.147,6.34,89904V200
2001.0,TUESDAY MORNING CORP,259.007,7.154,89904V200
2002.0,TUESDAY MORNING CORP,245.294,7.531,89904V200
2003.0,TUESDAY MORNING CORP,253.394,7.95,89904V200
2004.0,TUESDAY MORNING CORP,336.12,7.8,89904V200
2005.0,TUESDAY MORNING CORP,379.927,8.8,89904V200
2006.0,TUESDAY MORNING CORP,393.134,8.9,89904V200
2007.0,TUESDAY MORNING CORP,394.321,9.3,89904V200
2008.0,TUESDAY MORNING CORP,341.776,10.8,89904V200
2009.0,TUESDAY MORNING CORP,319.241,10.6,89904V200
2010.0,TUESDAY MORNING CORP,350.536,10.1,89904V200
2011.0,TUESDAY MORNING CORP,379.156,8.9,89904V200
2012.0,TUESDAY MORNING CORP,397.167,8.4,89904V200
2013.0,TUESDAY MORNING CORP,321.88,9.756,89904V200
2014.0,TUESDAY MORNING CORP,332.386,8.498,89904V200
2015.0,TUESDAY MORNING CORP,335.905,8.82,89904V200
2016.0,TUESDAY MORNING CORP,361.97,9.067,89904V200
2017.0,TUESDAY MORNING CORP,358.153,8.878,89904V200
2018.0,TUESDAY MORNING CORP,376.256,9.062,89904V200
2019.0,TUESDAY MORNING CORP,370.521,9.634,89904V200
2020.0,TUESDAY MORNING CORP,505.39,7.433,89904V200
2021.0,TUESDAY MORNING CORP,417.884,6.299,89904V200
2022.0,TUESDAY MORNING CORP,354.176,6.046,89904V200
1989.0,SUN MICROSYSTEMS INC,1269.074,10.208,866810203.0
1990.0,SUN MICROSYSTEMS INC,1778.576,11.49,866810203.0
1991.0,SUN MICROSYSTEMS INC,2326.335,12.48,866810203.0
1992.0,SUN MICROSYSTEMS INC,2671.626,12.812,866810203.0
1993.0,SUN MICROSYSTEMS INC,2767.629,13.253,866810203.0
1994.0,SUN MICROSYSTEMS INC,2897.992,13.282,866810203.0
1995.0,SUN MICROSYSTEMS INC,3544.553,14.498,866810203.0
1996.0,SUN MICROSYSTEMS INC,3800.909,17.4,866810203.0
1997.0,SUN MICROSYSTEMS INC,4697.274,21.5,866810203.0
1998.0,SUN MICROSYSTEMS INC,5711.062,26.3,866810203.0
1999.0,SUN MICROSYSTEMS INC,8420.352,29.7,866810203.0
2000.0,SUN MICROSYSTEMS INC,14152.0,38.9,866810203.0
2001.0,SUN MICROSYSTEMS INC,18181.0,43.7,866810203.0
2002.0,SUN MICROSYSTEMS INC,16522.0,39.4,866810203.0
2003.0,SUN MICROSYSTEMS INC,12985.0,36.1,866810203.0
2004.0,SUN MICROSYSTEMS INC,14503.0,32.6,866810203.0
2005.0,SUN MICROSYSTEMS INC,14190.0,31.0,866810203.0
2006.0,SUN MICROSYSTEMS INC,15082.0,38.0,866810203.0
2007.0,SUN MICROSYSTEMS INC,15838.0,34.2,866810203.0
2008.0,SUN MICROSYSTEMS INC,14340.0,34.9,866810203.0
2009.0,SUN MICROSYSTEMS INC,11232.0,29.0,866810203.0
1989.0,MICROSOFT CORP,720.598,4.037,594918104.0
1990.0,MICROSOFT CORP,1105.349,5.635,594918104.0
1991.0,MICROSOFT CORP,1644.184,8.226,594918104.0
1992.0,MICROSOFT CORP,2639.903,11.542,594918104.0
1993.0,MICROSOFT CORP,3805.0,14.43,594918104.0
1994.0,MICROSOFT CORP,5363.0,15.257,594918104.0
1995.0,MICROSOFT CORP,7210.0,17.801,594918104.0
1996.0,MICROSOFT CORP,10093.0,20.561,594918104.0
1997.0,MICROSOFT CORP,14387.0,22.232,594918104.0
1998.0,MICROSOFT CORP,22357.0,27.055,594918104.0
1999.0,MICROSOFT CORP,37156.0,31.396,594918104.0
2000.0,MICROSOFT CORP,52150.0,39.1,594918104.0
2001.0,MICROSOFT CORP,59257.0,47.6,594918104.0
2002.0,MICROSOFT CORP,67646.0,50.5,594918104.0
2003.0,MICROSOFT CORP,79571.0,55.0,594918104.0
2004.0,MICROSOFT CORP,92389.0,57.0,594918104.0
2005.0,MICROSOFT CORP,70815.0,61.0,594918104.0
2006.0,MICROSOFT CORP,69597.0,71.0,594918104.0
2007.0,MICROSOFT CORP,63171.0,79.0,594918104.0
2008.0,MICROSOFT CORP,72793.0,91.0,594918104.0
2009.0,MICROSOFT CORP,77888.0,93.0,594918104.0
2010.0,MICROSOFT CORP,86113.0,89.0,594918104.0
2011.0,MICROSOFT CORP,108704.0,90.0,594918104.0
2012.0,MICROSOFT CORP,121271.0,94.0,594918104.0
2013.0,MICROSOFT CORP,142431.0,99.0,594918104.0
2014.0,MICROSOFT CORP,172384.0,128.0,594918104.0
2015.0,MICROSOFT CORP,176223.0,118.0,594918104.0
2016.0,MICROSOFT CORP,193694.0,114.0,594918104.0
2017.0,MICROSOFT CORP,241086.0,124.0,594918104.0
2018.0,MICROSOFT CORP,258848.0,131.0,594918104.0
2019.0,MICROSOFT CORP,286556.0,144.0,594918104.0
2020.0,MICROSOFT CORP,301311.0,163.0,594918104.0
2021.0,MICROSOFT CORP,333779.0,181.0,594918104.0
2022.0,MICROSOFT CORP,364840.0,221.0,594918104.0
2023.0,MICROSOFT CORP,411976.0,221.0,594918104.0
1988.0,ORACLE CORP,460.209,4.148,68389X105
1989.0,ORACLE CORP,787.247,6.811,68389X105
1990.0,ORACLE CORP,857.64,7.466,68389X105
1991.0,ORACLE CORP,955.572,8.16,68389X105
1992.0,ORACLE CORP,1184.02,9.247,68389X105
1993.0,ORACLE CORP,1594.984,12.058,68389X105
1994.0,ORACLE CORP,2424.517,16.882,68389X105
1995.0,ORACLE CORP,3357.243,23.113,68389X105
1996.0,ORACLE CORP,4624.315,29.431,68389X105
1997.0,ORACLE CORP,5819.011,36.802,68389X105
1998.0,ORACLE CORP,7259.654,43.8,68389X105
1999.0,ORACLE CORP,13076.779,41.32,68389X105
2000.0,ORACLE CORP,11030.16,42.927,68389X105
2001.0,ORACLE CORP,10800.0,42.006,68389X105
2002.0,ORACLE CORP,11064.0,40.65,68389X105
2003.0,ORACLE CORP,12763.0,41.658,68389X105
2004.0,ORACLE CORP,20687.0,49.872,68389X105
2005.0,ORACLE CORP,29029.0,56.133,68389X105
2006.0,ORACLE CORP,34572.0,74.674,68389X105
2007.0,ORACLE CORP,47268.0,84.233,68389X105
2008.0,ORACLE CORP,47416.0,86.0,68389X105
2009.0,ORACLE CORP,61578.0,105.0,68389X105
2010.0,ORACLE CORP,73535.0,108.0,68389X105
2011.0,ORACLE CORP,78327.0,115.0,68389X105
2012.0,ORACLE CORP,81812.0,120.0,68389X105
2013.0,ORACLE CORP,90344.0,122.0,68389X105
2014.0,ORACLE CORP,110903.0,132.0,68389X105
2015.0,ORACLE CORP,112180.0,136.0,68389X105
2016.0,ORACLE CORP,134991.0,138.0,68389X105
2017.0,ORACLE CORP,137264.0,137.0,68389X105
2018.0,ORACLE CORP,108709.0,136.0,68389X105
2019.0,ORACLE CORP,115438.0,135.0,68389X105
2020.0,ORACLE CORP,131107.0,132.0,68389X105
2021.0,ORACLE CORP,109297.0,143.0,68389X105
2022.0,ORACLE CORP,134384.0,164.0,68389X105
1989.0,SUNGARD DATA SYSTEMS INC,193.43,1.6,867364002.0
1990.0,SUNGARD DATA SYSTEMS INC,302.687,1.64,867364002.0
1991.0,SUNGARD DATA SYSTEMS INC,313.459,1.69,867364002.0
1992.0,SUNGARD DATA SYSTEMS INC,365.58,2.09,867364002.0
1993.0,SUNGARD DATA SYSTEMS INC,418.135,2.276,867364002.0
1994.0,SUNGARD DATA SYSTEMS INC,485.74,2.5,867364002.0
1995.0,SUNGARD DATA SYSTEMS INC,579.734,2.9,867364002.0
1996.0,SUNGARD DATA SYSTEMS INC,679.318,3.7,867364002.0
1997.0,SUNGARD DATA SYSTEMS INC,786.334,4.5,867364002.0
1998.0,SUNGARD DATA SYSTEMS INC,1075.321,5.3,867364002.0
1999.0,SUNGARD DATA SYSTEMS INC,1564.762,6.9,867364002.0
2000.0,SUNGARD DATA SYSTEMS INC,1845.185,7.8,867364002.0
2001.0,SUNGARD DATA SYSTEMS INC,2898.158,8.7,867364002.0
2002.0,SUNGARD DATA SYSTEMS INC,3281.596,8.8,867364002.0
2003.0,SUNGARD DATA SYSTEMS INC,4000.107,10.0,867364002.0
2004.0,SUNGARD DATA SYSTEMS INC,5194.641,13.0,867364002.0
2005.0,SUNGARD DATA SYSTEMS INC,14587.0,15.0,867364002.0
2006.0,SUNGARD DATA SYSTEMS INC,14671.0,16.6,867364002.0
2007.0,SUNGARD DATA SYSTEMS INC,14840.0,17.9,867364002.0
2008.0,SUNGARD DATA SYSTEMS INC,15778.0,20.0,867364002.0
2009.0,SUNGARD DATA SYSTEMS INC,13980.0,20.7,867364002.0
2010.0,SUNGARD DATA SYSTEMS INC,12968.0,20.1,867364002.0
2011.0,SUNGARD DATA SYSTEMS INC,12550.0,17.5,867364002.0
2012.0,SUNGARD DATA SYSTEMS INC,10018.0,17.0,867364002.0
2013.0,SUNGARD DATA SYSTEMS INC,9779.0,17.0,867364002.0
2014.0,SUNGARD DATA SYSTEMS INC,6507.0,13.0,867364002.0
1988.0,TECH DATA CORP,88.663,0.426,878237106.0
1989.0,TECH DATA CORP,121.783,0.556,878237106.0
1990.0,TECH DATA CORP,149.12,0.573,878237106.0
1991.0,TECH DATA CORP,200.476,0.69,878237106.0
1992.0,TECH DATA CORP,326.885,1.025,878237106.0
1993.0,TECH DATA CORP,506.76,1.35,878237106.0
1994.0,TECH DATA CORP,784.429,2.265,878237106.0
1995.0,TECH DATA CORP,1043.879,2.625,878237106.0
1996.0,TECH DATA CORP,1545.294,3.4,878237106.0
1997.0,TECH DATA CORP,2185.383,5.075,878237106.0
1998.0,TECH DATA CORP,3844.987,8.24,878237106.0
1999.0,TECH DATA CORP,4123.818,9.575,878237106.0
2000.0,TECH DATA CORP,4615.545,10.5,878237106.0
2001.0,TECH DATA CORP,3458.33,8.6,878237106.0
2002.0,TECH DATA CORP,3248.018,7.9,878237106.0
2003.0,TECH DATA CORP,4167.886,8.4,878237106.0
2004.0,TECH DATA CORP,4557.736,8.5,878237106.0
2005.0,TECH DATA CORP,4404.634,8.2,878237106.0
2006.0,TECH DATA CORP,4703.864,8.0,878237106.0
2007.0,TECH DATA CORP,5220.935,8.3,878237106.0
2008.0,TECH DATA CORP,5023.754,8.0,878237106.0
2009.0,TECH DATA CORP,5902.087,7.6,878237106.0
2010.0,TECH DATA CORP,6488.292,8.7,878237106.0
2011.0,TECH DATA CORP,5785.418,8.3,878237106.0
2012.0,TECH DATA CORP,6830.96,9.1,878237106.0
2013.0,TECH DATA CORP,7169.666,9.1,878237106.0
2014.0,TECH DATA CORP,6138.246,8.9,878237106.0
2015.0,TECH DATA CORP,6358.288,9.0,878237106.0
2016.0,TECH DATA CORP,7931.866,9.5,878237106.0
2017.0,TECH DATA CORP,12652.636,14.0,878237106.0
2018.0,TECH DATA CORP,12986.552,14.0,878237106.0
2019.0,TECH DATA CORP,13268.609,15.0,878237106.0
1988.0,REPLIGEN CORP,24.672,0.107,759916109.0
1989.0,REPLIGEN CORP,31.435,0.127,759916109.0
1990.0,REPLIGEN CORP,37.051,0.127,759916109.0
1991.0,REPLIGEN CORP,54.191,0.191,759916109.0
1992.0,REPLIGEN CORP,63.483,0.287,759916109.0
1993.0,REPLIGEN CORP,59.611,0.301,759916109.0
1994.0,REPLIGEN CORP,31.33,0.104,759916109.0
1995.0,REPLIGEN CORP,9.231,0.015,759916109.0
1996.0,REPLIGEN CORP,5.621,0.02,759916109.0
1997.0,REPLIGEN CORP,6.513,0.024,759916109.0
1998.0,REPLIGEN CORP,5.224,0.024,759916109.0
1999.0,REPLIGEN CORP,36.287,0.027,759916109.0
2000.0,REPLIGEN CORP,32.148,0.04,759916109.0
2001.0,REPLIGEN CORP,29.111,0.039,759916109.0
2002.0,REPLIGEN CORP,26.793,0.044,759916109.0
2003.0,REPLIGEN CORP,29.615,0.04,759916109.0
2004.0,REPLIGEN CORP,27.607,0.037,759916109.0
2005.0,REPLIGEN CORP,28.599,0.043,759916109.0
2006.0,REPLIGEN CORP,29.076,0.045,759916109.0
2007.0,REPLIGEN CORP,68.84,0.056,759916109.0
2008.0,REPLIGEN CORP,73.755,0.069,759916109.0
2009.0,REPLIGEN CORP,71.42,0.068,759916109.0
2010.0,REPLIGEN CORP,72.294,0.066,759916109.0
2011.0,REPLIGEN CORP,76.057,0.137,759916109.0
2012.0,REPLIGEN CORP,97.01,0.12,759916109.0
2013.0,REPLIGEN CORP,118.645,0.116,759916109.0
2014.0,REPLIGEN CORP,128.293,0.136,759916109.0
2015.0,REPLIGEN CORP,146.237,0.168,759916109.0
2016.0,REPLIGEN CORP,288.913,0.236,759916109.0
2017.0,REPLIGEN CORP,743.519,0.476,759916109.0
2018.0,REPLIGEN CORP,774.621,0.548,759916109.0
2019.0,REPLIGEN CORP,1400.113,0.761,759916109.0
2020.0,REPLIGEN CORP,1902.887,1.128,759916109.0
2021.0,REPLIGEN CORP,2358.354,1.852,759916109.0
2022.0,REPLIGEN CORP,2524.658,2.025,759916109.0
2023.0,REPLIGEN CORP,2824.411,1.783,759916109.0
1988.0,AUTOINFO INC,13.262,0.033,52777109.0
1989.0,AUTOINFO INC,15.294,0.04,52777109.0
1990.0,AUTOINFO INC,17.43,0.05,52777109.0
1991.0,AUTOINFO INC,18.611,0.1,52777109.0
1992.0,AUTOINFO INC,19.975,0.12,52777109.0
1993.0,AUTOINFO INC,27.285,0.15,52777109.0
1994.0,AUTOINFO INC,42.357,0.007,52777109.0
1995.0,AUTOINFO INC,65.795,0.08,52777109.0
1996.0,AUTOINFO INC,74.451,0.125,52777109.0
1997.0,AUTOINFO INC,96.614,0.098,52777109.0
1998.0,AUTOINFO INC,2.752,0.003,52777109.0
1999.0,AUTOINFO INC,1.0,0.001,52777109.0
2000.0,AUTOINFO INC,1.74,0.014,52777109.0
2001.0,AUTOINFO INC,2.458,0.044,52777109.0
2002.0,AUTOINFO INC,3.944,0.056,52777109.0
2003.0,AUTOINFO INC,6.286,0.118,52777109.0
2004.0,AUTOINFO INC,11.795,0.196,52777109.0
2005.0,AUTOINFO INC,16.646,0.035,52777109.0
2006.0,AUTOINFO INC,23.822,0.045,52777109.0
2007.0,AUTOINFO INC,33.19,0.052,52777109.0
2008.0,AUTOINFO INC,42.776,0.052,52777109.0
2009.0,AUTOINFO INC,54.205,0.062,52777109.0
2010.0,AUTOINFO INC,66.727,0.061,52777109.0
2011.0,AUTOINFO INC,59.107,0.08,52777109.0
2012.0,AUTOINFO INC,64.404,0.1,52777109.0
1989.0,TEKELEC,28.092,0.203,879101103.0
1990.0,TEKELEC,36.496,0.301,879101103.0
1991.0,TEKELEC,43.893,0.339,879101103.0
1992.0,TEKELEC,38.403,0.37,879101103.0
1993.0,TEKELEC,28.139,0.273,879101103.0
1994.0,TEKELEC,34.409,0.31,879101103.0
1995.0,TEKELEC,80.488,0.358,879101103.0
1996.0,TEKELEC,82.518,0.367,879101103.0
1997.0,TEKELEC,136.465,0.442,879101103.0
1998.0,TEKELEC,210.242,0.581,879101103.0
1999.0,TEKELEC,394.434,0.843,879101103.0
2000.0,TEKELEC,458.524,1.033,879101103.0
2001.0,TEKELEC,484.404,1.057,879101103.0
2002.0,TEKELEC,525.683,0.875,879101103.0
2003.0,TEKELEC,614.933,1.065,879101103.0
2004.0,TEKELEC,781.643,1.502,879101103.0
2005.0,TEKELEC,825.187,1.759,879101103.0
2006.0,TEKELEC,969.257,1.409,879101103.0
2007.0,TEKELEC,881.89,0.931,879101103.0
2008.0,TEKELEC,831.96,1.085,879101103.0
2009.0,TEKELEC,834.008,1.101,879101103.0
2010.0,TEKELEC,832.387,1.291,879101103.0
1989.0,CYPRESS SEMICONDUCTOR CORP,285.758,1.388,232806109.0
1990.0,CYPRESS SEMICONDUCTOR CORP,309.395,1.595,232806109.0
1991.0,CYPRESS SEMICONDUCTOR CORP,374.603,1.945,232806109.0
1992.0,CYPRESS SEMICONDUCTOR CORP,320.504,1.529,232806109.0
1993.0,CYPRESS SEMICONDUCTOR CORP,340.648,1.262,232806109.0
1994.0,CYPRESS SEMICONDUCTOR CORP,555.699,1.423,232806109.0
1995.0,CYPRESS SEMICONDUCTOR CORP,750.728,1.859,232806109.0
1996.0,CYPRESS SEMICONDUCTOR CORP,794.047,2.171,232806109.0
1997.0,CYPRESS SEMICONDUCTOR CORP,956.27,2.77,232806109.0
1998.0,CYPRESS SEMICONDUCTOR CORP,756.299,2.901,232806109.0
1999.0,CYPRESS SEMICONDUCTOR CORP,1117.224,3.81,232806109.0
2000.0,CYPRESS SEMICONDUCTOR CORP,2361.754,4.435,232806109.0
2001.0,CYPRESS SEMICONDUCTOR CORP,1886.436,4.16,232806109.0
2002.0,CYPRESS SEMICONDUCTOR CORP,1572.648,4.101,232806109.0
